Country;Population-2020;Yearly Change;Net Change;Density (P/Km2);Land Area (Km2);Migrants (net);Fert. Rate;Med. Age ;Urban Pop ;World Share
China;1,439,323,776;00.39;5,540,090;153;9,388,211;-348,399;01.07;38;61;18.47
India;1,380,004,385;0,06875;13,586,631;464;2,973,190;-532,687;02.02;28;35;0,756944444
US;331,002,651;00.59;1,937,734;36;9,147,420;954,806;01.08;38;83;04.25
Indonesia;273,523,615;01.07;2,898,047;151;1,811,570;-98,955;02.03;30;56;03.51
Pakistan;220,892,340;02.00;4,327,022;287;770,88;-233,379;03.06;23;35;0,140972222
Brazil;212,559,417;0,05;1,509,890;25;8,358,140;21,2;01.07;33;88;0,134027778
Nigeria;206,139,589;02.58;5,175,990;226;910,77;-60;05.04;18;52;0,127777778
Bangladesh;164,689,383;01.01;1,643,222;1,265;130,17;-369,501;02.01;28;39;02.11
Russia;145,934,462;00.04;62,206;9;16,376,870;182,456;01.08;40;74;0,102083333
Mexico;128,932,753;01.06;1,357,224;66;1,943,950;-60;02.01;29;84;0,086805556
Japan;126,476,461;-0.30 ;-383,84;347;364,555;71,56;01.04;48;92;0,084722222
Ethiopia;114,963,588;02.57;2,884,858;115;1,000,000;30;04.03;19;21;01.47
Philippines;109,581,078;01.35;1,464,463;368;298,17;-67,152;02.06;26;47;01.41
Egypt;102,334,404;0,106944444;1,946,331;103;995,45;-38,033;03.03;25;43;01.31
Vietnam;97,338,579;0,063194444;876,473;314;310,07;-80;02.01;32;38;01.25
DR Congo;89,561,403;03.19;2,770,836;40;2,267,050;23,861;06.00;17;46;01.15
Turkey;84,339,067;01.09;909,452;110;769,63;283,922;02.01;32;76;01.08
Iran;83,992,949;01.30;1,079,043;52;1,628,550;-55;02.02;32;76;01.08
Germany;83,783,942;00.32;266,897;240;348,56;543,822;01.06;46;76;01.07
Thailand;69,799,978;00.25;174,396;137;510,89;19,444;01.05;40;51;0,0625
United Kingdom;67,886,011;00.53;355,839;281;241,93;260,65;01.08;40;83;0,060416667
France;65,273,511;00.22;143,783;119;547,557;36,527;01.09;42;82;0,058333333
Italy;60,461,826;-0.15 ;-88,249;206;294,14;148,943;01.03;47;69;0,054166667
Tanzania;59,734,218;0,151388889;1,728,755;67;885,8;-40,076;04.09;18;37;0,053472222
South Africa;59,308,690;01.28;750,42;49;1,213,090;145,405;02.04;28;67;0,052777778
Myanmar;54,409,800;0,046527778;364,38;83;653,29;-163,313;02.02;29;31;0,048611111
Kenya;53,771,296;02.28;1,197,323;94;569,14;-10;03.05;20;28;0,047916667
Korea, South;51,269,185;00.09;43,877;527;97,23;11,731;01.01;44;82;0,045833333
Colombia;50,882,891;01.08;543,448;46;1,109,500;204,796;01.08;31;80;0,045138889
Spain;46,754,778;00.04;18,002;94;498,8;40;01.03;45;80;0,041666667
Uganda;45,741,007;03.32;1,471,413;229;199,81;168,694;05.00;17;26;00.59
Argentina;45,195,774;0,064583333;415,097;17;2,736,690;4,8;02.03;32;93;00.58
Algeria;43,851,044;0,100694444;797,99;18;2,381,740;-10;03.01;29;73;00.56
Sudan;43,849,260;02.42;1,036,022;25;1,765,048;-50;04.04;20;35;00.56
